employee_id,year,week,team,role,experience_years,assigned_tasks,completed_tasks,story_points_completed,actual_work_hours,task_completion_rate,on_time_delivery_rate,commit_score,project_complexity,bug_density,critical_bug_ratio,code_review_acceptance,avg_pr_revision,workload_index,team_collaboration_score,feedback_score,org_centrality_score,motivation_score,Performance_Drop_Target,Burnout_Target,Resignation_Target,High_Risk_Target
SE-025,2024,1,Backend,Lead,9,6,6,18,42,0.9566,0.9907,1.303,0.8288,0.1342,0.092,0.9672,1.693,0.9254,0.123,0.8946,0.7982,0.8904,0,0,0,0
SE-025,2024,2,Backend,Lead,9,13,13,27,35,0.9869,0.9038,1.3629,0.9851,0.0,0.046,0.91,1.2108,0.854,0.0946,0.9443,0.7892,0.8872,0,0,0,0
SE-025,2024,3,Backend,Lead,9,12,11,39,38,0.9385,0.9526,1.3263,0.9824,0.0641,0.0543,0.8735,1.4123,0.9161,0.1222,0.9239,0.8074,0.8668,0,0,0,0
SE-025,2024,4,Backend,Lead,9,6,6,21,39,0.9595,0.9976,1.2946,0.9505,0.0786,0.0454,0.9024,1.2201,0.9116,0.1156,0.9018,0.87,0.8384,0,0,0,0
SE-025,2024,5,Backend,Lead,9,13,12,26,38,0.9115,0.9532,1.3824,0.8423,0.2119,0.0619,0.92,1.3856,0.9764,0.1649,0.9476,0.7531,0.845,1,0,0,0
SE-025,2024,6,Backend,Lead,9,9,8,30,42,0.9437,0.9006,1.4194,0.9093,0.1892,0.0458,0.9468,1.8821,0.9638,0.1257,0.8803,0.8112,0.8862,0,1,1,0
SE-025,2024,7,Backend,Lead,9,8,8,13,41,0.9767,0.9726,1.2992,0.8879,0.1069,0.1031,1.0,1.8817,1.041,0.1923,0.9333,0.802,0.9249,0,0,0,0
SE-025,2024,8,Backend,Lead,9,9,8,26,42,0.9227,1.0,1.3202,0.8942,0.1577,0.0727,0.9654,1.495,0.8505,0.1314,0.9595,0.8244,0.8778,0,0,1,0
SE-025,2024,9,Backend,Lead,9,11,11,35,41,1.0,0.9061,1.3085,0.9292,0.1572,0.1023,0.9474,1.7716,0.9705,0.138,0.9048,0.8077,0.9669,0,0,0,0
SE-025,2024,10,Backend,Lead,9,8,7,36,37,0.9271,0.9521,1.3235,0.9146,0.145,0.0925,0.9014,1.5383,0.9167,0.1587,0.8951,0.8471,1.0,0,0,0,0
SE-025,2024,11,Backend,Lead,9,12,11,10,36,0.9343,0.9339,1.3358,0.8953,0.1336,0.055,0.9926,1.7396,0.8672,0.1885,0.9009,0.8241,0.87,0,1,0,0
SE-025,2024,12,Backend,Lead,9,14,14,33,36,0.9876,0.9161,1.2682,0.9046,0.1224,0.1089,0.9936,1.5921,0.9299,0.1122,0.9127,0.7971,0.921,0,0,0,0
SE-025,2024,13,Backend,Lead,9,14,13,23,37,0.9563,0.9473,1.3428,0.8799,0.1302,0.0847,0.9288,1.5469,0.9233,0.1316,0.9089,0.7641,0.8823,0,0,0,0
SE-025,2024,14,Backend,Lead,9,10,9,36,35,0.9003,0.8972,1.3961,0.8859,0.1304,0.069,0.9409,1.3856,0.7561,0.1208,0.9113,0.8593,0.947,0,0,0,1
SE-025,2024,15,Backend,Lead,9,13,13,37,34,0.9703,0.9408,1.3186,0.9181,0.1248,0.0765,0.9459,1.5187,0.9363,0.1789,0.8608,0.7941,0.9626,0,1,0,0
