employee_id,team,role,experience_years,week,year,assigned_tasks,completed_tasks,story_points_completed,actual_work_hours,project_complexity,management_quality,KPI-1_Gorev_Tamamlama_Orani_GTO,KPI-2_Zamaninda_Teslim_Orani_ZTO,KPI-3_Goreli_Katki_Endeksi_GKE,KPI-4_Kod_Katki_Kalite_Endeksi_KKKE,KKKE_AltMetrik_ECO_Etkili_Commit_Orani,KKKE_AltMetrik_HDS_Haftalik_Dagilim_Skoru,KKKE_AltMetrik_CTO_Commit_Task_Dengesi,KKKE_AltMetrik_OCH_Ortalama_Commit_Hacmi,KPI-5_Bug_Yogunlugu_BY,KPI-6_Kritik_Bug_Orani_KBO,KPI-7_Code_Review_Kabul_Orani_CRKO,KPI-8_Ortalama_PR_Duzeltme_Sayisi_OPDS,KPI-9_Is_Yuku_Endeksi_IYE,KPI-10_Surekli_Asiri_Yuk_Skoru_SAYS,KPI-11_Toplanti_Yuku_Orani_TYO,KPI-12_Ekip_Katki_Skoru_EKS,KPI-13_360_Geri_Bildirim_Skoru_360GBS,KPI-14_Organizasyonel_Merkezilik_Skoru_OMS,KPI-15_Motivasyon_Skoru_MS,KPI-16_Motivasyon_Trend_Egimi_MTE,KPI-17_Gelisim_Katilim_Skoru_GKS,KPI-18_Genel_Performans_Skoru_GPS,KPI-19_Ayrilma_Riski_Skoru_ARS,KPI-20_Potansiyel_Performans_Endeksi_PPE,performance_band,attrition_risk_band
1,Backend,Mid,5.8,1,2025,10,8,39.8,34.6,0.5577,0.7931,0.8238,0.7135,1.7557,0.6481,0.6818,0.4,5.625,216.9446,0.5746,0.3328,0.3696,5,0.98175,0.0,0.2808,67.1628,76.2141,0.7538,76.1544,0.0,0.7106,71.3425,0.1849,67.3402,Stabil,Dusuk
1,Backend,Mid,5.8,2,2025,7,5,21.3,35.5,0.7746,0.8195,0.7193,0.6876,1.077,0.6799,0.8571,1.0,2.4,255.0822,0.5205,0.3272,0.4213,5,0.97933,0.0,0.1623,80.4474,81.196,0.5565,67.0064,-9.1481,0.6902,69.1486,0.3035,55.4156,Stabil,Orta
1,Backend,Mid,5.8,3,2025,15,13,63.9,39.0,0.6642,0.8563,0.8451,0.7197,2.5,0.7538,0.9474,1.0,2.7692,237.1669,0.5622,0.3486,0.4773,4,1.0978,0.0,0.2749,81.5262,79.0986,0.5345,80.0553,1.9505,0.8123,75.4894,0.1453,75.8288,Stabil,Dusuk
1,Backend,Mid,5.8,4,2025,4,3,15.0,36.2,0.5324,0.7994,0.8327,0.7666,0.6935,0.8001,1.0,0.6,3.0,135.0378,0.4957,0.3442,0.4805,4,1.01849,0.0,0.2648,70.9236,77.6752,0.6048,74.0838,0.6837,0.704,71.0623,0.207,68.5504,Stabil,Dusuk
1,Backend,Mid,5.8,5,2025,4,3,14.4,40.1,0.5887,0.7993,0.854,0.7482,0.5709,0.8449,0.8571,0.8,4.0,161.3283,0.5463,0.252,0.4325,5,1.10671,0.0,0.332,78.3443,78.5849,0.4979,77.441,2.5332,0.5781,71.3631,0.1296,66.0479,Stabil,Dusuk
1,Backend,Mid,5.8,6,2025,11,9,42.5,44.1,0.5935,0.8343,0.8041,0.7116,1.738,0.8916,0.9592,0.6,5.2222,152.2891,0.4989,0.3131,0.4318,4,1.15181,0.0,0.2845,76.6913,76.8544,0.6329,76.9017,-0.6104,0.6706,74.8964,0.2958,64.779,Stabil,Dusuk
1,Backend,Mid,5.8,7,2025,6,5,10.9,46.2,0.7361,0.8229,0.7797,0.7167,0.5641,0.768,0.7826,1.0,3.6,85.5365,0.5418,0.3385,0.3778,4,1.18503,0.0,0.2441,86.6162,75.5034,0.5991,77.5755,0.9936,0.7606,70.1819,0.2707,70.9305,Stabil,Dusuk
1,Backend,Mid,5.8,8,2025,4,3,9.1,35.5,0.4372,0.8072,0.8446,0.7564,0.4084,0.8689,0.9333,0.8,4.6667,111.7006,0.4975,0.2516,0.5572,3,0.93709,0.0,0.2362,77.0609,76.5706,0.7962,67.7983,-2.8254,0.6947,71.4621,0.3043,62.3172,Stabil,Orta
1,Backend,Mid,5.8,9,2025,5,4,11.8,41.1,0.4748,0.7652,0.7731,0.7085,0.5902,0.6498,1.0,0.8,2.5,288.905,0.5434,0.28,0.4215,5,1.12959,0.0,0.1807,77.7591,78.6957,0.5528,74.2273,-1.78,0.5742,68.5001,0.2618,59.1643,Stabil,Dusuk
1,Backend,Mid,5.8,10,2025,7,5,16.7,38.7,0.663,0.8207,0.7638,0.6561,0.8214,0.7592,0.7143,0.8,7.0,150.628,0.5698,0.296,0.4666,3,1.07437,0.0,0.2183,79.4926,78.145,0.5696,66.7845,-2.5944,0.6938,69.307,0.3466,63.1102,Stabil,Orta
1,Backend,Mid,5.8,11,2025,6,5,20.5,37.7,0.3671,0.8399,0.8146,0.7394,0.7287,0.8666,0.75,1.0,4.2,154.4607,0.4198,0.2865,0.5175,4,0.92301,0.0,0.2561,82.6395,74.9943,0.5733,65.2188,-1.5181,0.748,71.4483,0.1999,66.2862,Stabil,Dusuk
1,Backend,Mid,5.8,12,2025,12,9,27.8,52.6,0.5995,0.8272,0.7294,0.523,1.5314,0.7135,0.8056,0.6,3.2222,112.8453,0.6112,0.3016,0.4462,4,1.4597,1.0,0.3323,77.9938,81.9349,0.6893,71.0557,-1.1081,0.6599,66.811,0.4532,65.0468,Stabil,Orta
1,Backend,Mid,5.8,13,2025,10,9,34.0,37.7,0.5176,0.7955,0.8587,0.8444,1.3912,0.8528,0.9268,1.0,4.2222,87.9612,0.5813,0.3236,0.4703,4,1.00507,1.0,0.2626,80.8674,82.5399,0.6688,70.0618,1.5669,0.9254,76.3625,0.2332,81.3511,Stabil,Dusuk
